n;RN;AVL;B-1;B-5;B-10
520;6053;9946;11561;9132;9093
521;6031;9984;11525;9137;9104
522;6069;10026;11532;9187;9114
523;6061;10009;11637;9194;9165
524;6059;10057;11638;9200;9169
525;6084;10045;11675;9230;9210
526;6084;10128;11661;9240;9217
527;6107;10146;11727;9268;9235
528;6112;10134;11728;9282;9262
529;6108;10158;11749;9299;9274
530;6147;10139;11785;9324;9305
531;6144;10201;11790;9355;9319
532;6202;10225;11870;9369;9350
533;6151;10215;11885;9378;9365
534;6227;10318;11925;9401;9363
535;6179;10271;11893;9423;9423
536;6169;10307;11911;9432;9426
537;6243;10359;11985;9460;9452
538;6229;10375;12003;9503;9434
539;6215;10331;12016;9494;9466
540;6283;10404;12052;9513;9495
541;6285;10445;12053;9545;9507
542;6276;10471;12085;9578;9519
543;6312;10501;12107;9570;9566
544;6288;10461;12134;9589;9572
545;6326;10489;12149;9591;9581
546;6353;10540;12228;9629;9606
547;6379;10572;12213;9660;9629
548;6390;10564;12227;9679;9649
549;6372;10602;12252;9695;9673
550;6413;10606;12311;9732;9693
551;6437;10632;12323;9736;9693
552;6402;10683;12315;9747;9730
553;6444;10691;12355;9771;9752
554;6441;10680;12380;9794;9764
555;6455;10722;12421;9822;9789
556;6488;10726;12435;9837;9813
557;6508;10797;12457;9862;9840
558;6548;10845;12461;9862;9847
559;6526;10854;12504;9881;9857
560;6537;10833;12515;9908;9899
561;6535;10867;12579;9931;9903
562;6601;10925;12578;9936;9919
563;6558;10885;12631;9954;9932
564;6576;10922;12612;9981;9971
565;6603;10984;12648;10025;9976
566;6613;10993;12687;10025;10012
567;6634;11025;12717;10043;10012
568;6627;11051;12701;10070;10040
569;6648;11046;12790;10084;10066
570;6674;11073;12812;10103;10080
571;6662;11075;12766;10104;10120
572;6691;11114;12849;10126;10127
573;6675;11123;12877;10167;10148
574;6697;11127;12920;10167;10176
575;6757;11220;12907;10186;10187
576;6714;11204;12961;10212;10190
577;6794;11250;13016;10229;10224
578;6769;11227;13003;10239;10267
579;6767;11230;13052;10273;10269
580;6766;11236;13078;10297;10275
581;6792;11313;13044;10301;10339
582;6837;11325;13100;10331;10309
583;6830;11322;13112;10346;10336
584;6842;11375;13159;10366;10386
585;6836;11400;13216;10382;10363
586;6882;11444;13237;10386;10423
587;6885;11433;13255;10428;10411
588;6907;11499;13274;10445;10463
589;6887;11463;13280;10473;10467
590;6944;11535;13299;10475;10474
591;6919;11535;13371;10496;10523
592;6969;11558;13332;10543;10514
593;6969;11586;13378;10527;10559
594;6968;11580;13385;10588;10573
595;6988;11633;13444;10575;10599
596;7000;11666;13393;10590;10603
597;7024;11704;13481;10620;10639
598;7050;11697;13517;10631;10638
599;7019;11717;13504;10631;10685
600;7053;11711;13581;10689;10699
601;7086;11742;13626;10694;10703
602;7076;11777;13548;10717;10735
603;7099;11795;13603;10735;10753
604;7108;11830;13645;10754;10781
605;7091;11838;13699;10799;10769
606;7155;11871;13684;10778;10821
607;7136;11921;13706;10815;10822
608;7167;11969;13780;10823;10855
609;7165;11958;13791;10858;10843
610;7197;11941;13818;10904;10887
611;7189;11959;13819;10889;10927
612;7180;12004;13887;10906;10927
613;7231;12048;13904;10938;10956
614;7262;12037;13906;10975;10953
